# step Etot Epot T p 
1164 -8489.1577 -8489.1577 0.0 397.2012 
1165 -8488.129 -8488.129 0.0 398.816 
1166 -8491.2231 -8491.2231 0.0 397.9698 
1167 -8491.1936 -8491.1936 0.0 398.0589 
1168 -8491.223 -8491.223 0.0 397.9788 
1169 -8491.2231 -8491.2231 0.0 397.9725 
1170 -8488.1856 -8488.1856 0.0 400.2446 
1171 -8493.05 -8493.05 0.0 398.8872 
1172 -8493.0038 -8493.0038 0.0 399.0302 
1173 -8493.0496 -8493.0496 0.0 398.9016 
1174 -8493.05 -8493.05 0.0 398.8902 
1175 -8493.05 -8493.05 0.0 398.8872 
1176 -8487.9267 -8487.9267 0.0 400.35 
1177 -8494.7476 -8494.7476 0.0 399.4419 
1178 -8494.6843 -8494.6843 0.0 399.5437 
1179 -8494.7472 -8494.7472 0.0 399.4523 
1180 -8494.7476 -8494.7476 0.0 399.4445 
1181 -8494.7476 -8494.7476 0.0 399.4419 
1182 -8489.0953 -8489.0953 0.0 398.2926 
1183 -8496.54 -8496.54 0.0 399.132 
1184 -8496.4712 -8496.4712 0.0 399.0595 
1185 -8496.5394 -8496.5394 0.0 399.1251 
1186 -8496.54 -8496.54 0.0 399.1303 
1187 -8496.54 -8496.54 0.0 399.132 
1188 -8493.5368 -8493.5368 0.0 398.0687 
1189 -8498.4463 -8498.4463 0.0 398.7843 
1190 -8498.4023 -8498.4023 0.0 398.7199 
1191 -8498.4462 -8498.4462 0.0 398.778 
1192 -8497.2788 -8497.2788 0.0 399.6664 
1193 -8500.4432 -8500.4432 0.0 399.2224 
1194 -8500.4127 -8500.4127 0.0 399.2725 
1195 -8500.443 -8500.443 0.0 399.2274 
1196 -8500.4432 -8500.4432 0.0 399.2236 
1197 -8500.4432 -8500.4432 0.0 399.2224 
1198 -8498.1712 -8498.1712 0.0 399.8299 
1199 -8502.1324 -8502.1324 0.0 399.5382 
1200 -8502.0935 -8502.0935 0.0 399.5778 
1201 -8502.1316 -8502.1316 0.0 399.5425 
1202 -8502.1322 -8502.1322 0.0 399.5387 
1203 -8502.1324 -8502.1324 0.0 399.5382 
1204 -8501.6854 -8501.6854 0.0 401.1402 
1205 -8504.0349 -8504.0349 0.0 400.3669 
1206 -8504.012 -8504.012 0.0 400.451 
1207 -8504.0348 -8504.0348 0.0 400.3754 
1208 -8504.0348 -8504.0348 0.0 400.3687 
1209 -8504.5084 -8504.5084 0.0 398.2052 
1210 -8490.5438 -8490.5438 0.0 395.5715 
1211 -8506.0692 -8506.0692 0.0 399.2761 
1212 -8506.0533 -8506.0533 0.0 399.1743 
1213 -8506.0689 -8506.0689 0.0 399.2661 
1214 -8506.0692 -8506.0692 0.0 399.2751 
1215 -8506.0693 -8506.0693 0.0 399.2741 
1216 -8507.116 -8507.116 0.0 397.7862 
1217 -8495.5097 -8495.5097 0.0 395.8983 
1218 -8508.2065 -8508.2065 0.0 398.4573 
1219 -8508.1963 -8508.1963 0.0 398.3933 
1220 -8508.2064 -8508.2064 0.0 398.4509 
1221 -8508.2065 -8508.2065 0.0 398.4561 
1222 -8508.5089 -8508.5089 0.0 397.3166 
1223 -8495.1057 -8495.1057 0.0 395.7011 
1224 -8510.0662 -8510.0662 0.0 397.921 
1225 -8510.0503 -8510.0503 0.0 397.8659 
1226 -8510.0661 -8510.0661 0.0 397.9155 
1227 -8510.0662 -8510.0662 0.0 397.9201 
1228 -8510.5552 -8510.5552 0.0 396.425 
1229 -8498.0985 -8498.0985 0.0 394.4529 
1230 -8511.9252 -8511.9252 0.0 397.178 
1231 -8511.9127 -8511.9127 0.0 397.1071 
1232 -8511.925 -8511.925 0.0 397.171 
1233 -8511.9252 -8511.9252 0.0 397.1773 
1234 -8511.9252 -8511.9252 0.0 397.178 
1235 -8514.0483 -8514.0483 0.0 396.5669 
1236 -8506.7355 -8506.7355 0.0 395.6557 
1237 -8514.3993 -8514.3993 0.0 396.7651 
1238 -8514.3956 -8514.3956 0.0 396.7466 
1239 -8514.3994 -8514.3994 0.0 396.7633 
1240 -8514.3994 -8514.3994 0.0 396.7636 
1241 -8514.3993 -8514.3993 0.0 396.7638 
1242 -8514.3994 -8514.3994 0.0 396.7636 
1243 -8515.6585 -8515.6585 0.0 395.8439 
1244 -8505.848 -8505.848 0.0 394.5817 
1245 -8516.4709 -8516.4709 0.0 396.2439 
1246 -8516.4638 -8516.4638 0.0 396.2062 
1247 -8516.4709 -8516.4709 0.0 396.2402 
1248 -8516.4709 -8516.4709 0.0 396.2431 
1249 -8516.4709 -8516.4709 0.0 396.2439 
1250 -8517.4493 -8517.4493 0.0 397.2392 
1251 -8506.81 -8506.81 0.0 397.8566 
1252 -8518.443 -8518.443 0.0 396.8734 
1253 -8518.4331 -8518.4331 0.0 396.9132 
1254 -8518.4431 -8518.4431 0.0 396.8773 
1255 -8518.4432 -8518.4432 0.0 396.8762 
1256 -8518.4432 -8518.4432 0.0 396.8757 
1257 -8518.443 -8518.443 0.0 396.8755 
1258 -8518.4432 -8518.4432 0.0 396.8757 
1259 -8518.9772 -8518.9772 0.0 396.8133 
1260 -8507.094 -8507.094 0.0 396.3687 
1261 -8520.2566 -8520.2566 0.0 396.8929 
1262 -8520.2466 -8520.2466 0.0 396.8878 
1263 -8520.2567 -8520.2567 0.0 396.8925 
1264 -8520.2568 -8520.2568 0.0 396.8926 
1265 -8520.2567 -8520.2567 0.0 396.8927 
1266 -8520.2568 -8520.2568 0.0 396.8926 
1267 -8521.3628 -8521.3628 0.0 396.7618 
1268 -8511.1476 -8511.1476 0.0 396.3804 
1269 -8522.2642 -8522.2642 0.0 396.849 
1270 -8522.2553 -8522.2553 0.0 396.8427 
1271 -8522.2643 -8522.2643 0.0 396.8483 
1272 -8522.2644 -8522.2644 0.0 396.8484 
1273 -8522.2642 -8522.2642 0.0 396.8486 
1274 -8522.2644 -8522.2644 0.0 396.8484 
1275 -8523.1215 -8523.1215 0.0 394.5562 
1276 -8511.9891 -8511.9891 0.0 392.051 
1277 -8524.2058 -8524.2058 0.0 395.5683 
1278 -8524.1953 -8524.1953 0.0 395.4694 
1279 -8524.2057 -8524.2057 0.0 395.5584 
1280 -8524.2059 -8524.2059 0.0 395.5663 
1281 -8524.2058 -8524.2058 0.0 395.5655 
1282 -8524.2059 -8524.2059 0.0 395.5663 
1283 -8525.2571 -8525.2571 0.0 394.2524 
1284 -8514.4376 -8514.4376 0.0 392.7798 
1285 -8526.2443 -8526.2443 0.0 394.8173 
1286 -8526.2362 -8526.2362 0.0 394.7619 
1287 -8526.2444 -8526.2444 0.0 394.8117 
1288 -8526.2443 -8526.2443 0.0 394.8135 
1289 -8526.2444 -8526.2444 0.0 394.8117 
1290 -8526.7407 -8526.7407 0.0 394.5033 
1291 -8514.0348 -8514.0348 0.0 393.9916 
1292 -8528.1355 -8528.1355 0.0 394.6763 
1293 -8528.1216 -8528.1216 0.0 394.6617 
1294 -8528.1353 -8528.1353 0.0 394.6749 
1295 -8528.1355 -8528.1355 0.0 394.6761 
1296 -8527.8976 -8527.8976 0.0 394.1153 
1297 -8529.8845 -8529.8845 0.0 394.4443 
1298 -8529.8661 -8529.8661 0.0 394.4147 
1299 -8529.8846 -8529.8846 0.0 394.4414 
1300 -8529.8845 -8529.8845 0.0 394.4427 
1301 -8529.8846 -8529.8846 0.0 394.4414 
1302 -8529.6376 -8529.6376 0.0 395.8582 
1303 -8531.6738 -8531.6738 0.0 395.1609 
1304 -8531.6547 -8531.6547 0.0 395.2334 
1305 -8531.6734 -8531.6734 0.0 395.1683 
1306 -8531.6738 -8531.6738 0.0 395.1617 
1307 -8531.6738 -8531.6738 0.0 395.1609 
1308 -8532.3063 -8532.3063 0.0 396.7517 
1309 -8518.4943 -8518.4943 0.0 398.2097 
1310 -8533.7881 -8533.7881 0.0 396.0507 
1311 -8533.7739 -8533.7739 0.0 396.1226 
1312 -8533.7875 -8533.7875 0.0 396.0581 
1313 -8533.7881 -8533.7881 0.0 396.0514 
1314 -8533.7881 -8533.7881 0.0 396.0507 
1315 -8533.4671 -8533.4671 0.0 397.0444 
1316 -8535.7292 -8535.7292 0.0 396.5602 
1317 -8535.7077 -8535.7077 0.0 396.6112 
1318 -8535.7289 -8535.7289 0.0 396.5654 
1319 -8535.729 -8535.729 0.0 396.5608 
1320 -8535.7292 -8535.7292 0.0 396.5602 
1321 -8534.7509 -8534.7509 0.0 396.7088 
1322 -8537.6039 -8537.6039 0.0 396.6625 
1323 -8537.5765 -8537.5765 0.0 396.6707 
1324 -8537.6041 -8537.6041 0.0 396.6632 
1325 -8537.6042 -8537.6042 0.0 396.6629 
1326 -8537.6042 -8537.6042 0.0 396.6628 
1327 -8537.5505 -8537.5505 0.0 398.392 
1328 -8539.769 -8539.769 0.0 397.5467 
1329 -8539.747 -8539.747 0.0 397.6336 
1330 -8539.7687 -8539.7687 0.0 397.5555 
1331 -8539.769 -8539.769 0.0 397.548 
1332 -8534.5236 -8534.5236 0.0 397.0501 
1333 -8541.2339 -8541.2339 0.0 397.4574 
1334 -8541.1701 -8541.1701 0.0 397.429 
1335 -8541.2335 -8541.2335 0.0 397.4547 
1336 -8541.234 -8541.234 0.0 397.4567 
1337 -8540.2181 -8540.2181 0.0 397.0643 
1338 -8543.4114 -8543.4114 0.0 397.2867 
1339 -8543.3846 -8543.3846 0.0 397.2636 
1340 -8543.4112 -8543.4112 0.0 397.2846 
1341 -8543.4115 -8543.4115 0.0 397.2859 
1342 -8543.4114 -8543.4114 0.0 397.2857 
1343 -8543.4115 -8543.4115 0.0 397.2859 
1344 -8542.2346 -8542.2346 0.0 401.1538 
1345 -8545.5844 -8545.5844 0.0 398.9833 
1346 -8545.5559 -8545.5559 0.0 399.1962 
1347 -8545.5846 -8545.5846 0.0 399.0045 
1348 -8545.5843 -8545.5843 0.0 399.0017 
1349 -8545.5846 -8545.5846 0.0 399.0045 
1350 -8541.5866 -8541.5866 0.0 402.0926 
1351 -8547.3194 -8547.3194 0.0 400.0759 
1352 -8547.2705 -8547.2705 0.0 400.2726 
1353 -8547.3194 -8547.3194 0.0 400.0956 
1354 -8542.099 -8542.099 0.0 403.18 
1355 -8548.9184 -8548.9184 0.0 401.0901 
1356 -8548.8602 -8548.8602 0.0 401.2952 
1357 -8548.9186 -8548.9186 0.0 401.1106 
1358 -8548.9186 -8548.9186 0.0 401.1043 
1359 -8548.9186 -8548.9186 0.0 401.1106 
1360 -8543.8338 -8543.8338 0.0 403.831 
1361 -8550.4788 -8550.4788 0.0 402.0085 
1362 -8550.4189 -8550.4189 0.0 402.1915 
1363 -8550.4793 -8550.4793 0.0 402.0266 
1364 -8550.4792 -8550.4792 0.0 402.0212 
1365 -8550.4793 -8550.4793 0.0 402.0266 
1366 -8547.5806 -8547.5806 0.0 403.0036 
1367 -8552.2447 -8552.2447 0.0 402.4153 
1368 -8552.2011 -8552.2011 0.0 402.4759 
1369 -8552.2446 -8552.2446 0.0 402.4214 
1370 -8552.2448 -8552.2448 0.0 402.4177 
1371 -8549.7772 -8549.7772 0.0 403.8587 
1372 -8554.0781 -8554.0781 0.0 403.0076 
1373 -8554.0372 -8554.0372 0.0 403.0954 
1374 -8554.0781 -8554.0781 0.0 403.0163 
1375 -8554.0783 -8554.0783 0.0 403.0123 
1376 -8554.0782 -8554.0782 0.0 403.0114 
1377 -8554.0783 -8554.0783 0.0 403.0123 
1378 -8552.6953 -8552.6953 0.0 403.4086 
1379 -8556.0911 -8556.0911 0.0 403.1881 
1380 -8556.0597 -8556.0597 0.0 403.2099 
1381 -8556.0915 -8556.0915 0.0 403.1901 
1382 -8556.0916 -8556.0916 0.0 403.1894 
1383 -8556.0916 -8556.0916 0.0 403.1892 
1384 -8553.4837 -8553.4837 0.0 404.799 
1385 -8557.921 -8557.921 0.0 403.8245 
1386 -8557.8793 -8557.8793 0.0 403.9225 
1387 -8557.9206 -8557.9206 0.0 403.8344 
1388 -8557.921 -8557.921 0.0 403.8268 
1389 -8554.2394 -8554.2394 0.0 405.8779 
1390 -8559.6156 -8559.6156 0.0 404.5777 
1391 -8559.5669 -8559.5669 0.0 404.7088 
1392 -8559.6154 -8559.6154 0.0 404.591 
1393 -8559.6157 -8559.6157 0.0 404.582 
1394 -8557.4096 -8557.4096 0.0 404.3351 
1395 -8561.3969 -8561.3969 0.0 404.4842 
1396 -8561.3599 -8561.3599 0.0 404.469 
1397 -8561.3965 -8561.3965 0.0 404.4828 
1398 -8561.3968 -8561.3968 0.0 404.484 
1399 -8561.3969 -8561.3969 0.0 404.4842 
1400 -8560.0699 -8560.0699 0.0 408.0082 
1401 -8563.2344 -8563.2344 0.0 406.0104 
1402 -8563.2061 -8563.2061 0.0 406.2092 
1403 -8563.2343 -8563.2343 0.0 406.0303 
1404 -8563.2344 -8563.2344 0.0 406.0175 
1405 -8563.2343 -8563.2343 0.0 406.0167 
1406 -8563.2344 -8563.2344 0.0 406.0174 
1407 -8445.7332 -8445.7332 0.0 408.5909 
1408 -8564.8839 -8564.8839 0.0 406.8768 
1409 -8563.7044 -8563.7044 0.0 407.499 
1410 -8564.8731 -8564.8731 0.0 406.9434 
1411 -8564.8839 -8564.8839 0.0 406.8835 
1412 -8487.3467 -8487.3467 0.0 409.6406 
1413 -8567.8532 -8567.8532 0.0 407.7169 
1414 -8567.8246 -8567.8246 0.0 407.6402 
1415 -8567.853 -8567.853 0.0 407.7093 
1416 -8567.8532 -8567.8532 0.0 407.7151 
1417 -8542.2038 -8542.2038 0.0 408.2956 
1418 -8571.7534 -8571.7534 0.0 407.9112 
1419 -8571.7157 -8571.7157 0.0 407.8925 
1420 -8571.7532 -8571.7532 0.0 407.9093 
1421 -8571.7533 -8571.7533 0.0 407.9107 
1422 -8550.1191 -8550.1191 0.0 404.1585 
1423 -8575.2697 -8575.2697 0.0 406.9411 
1424 -8575.2352 -8575.2352 0.0 407.0394 
1425 -8575.2694 -8575.2694 0.0 406.9509 
1426 -8575.2697 -8575.2697 0.0 406.942 
1427 -8546.2502 -8546.2502 0.0 409.6568 
1428 -8577.9627 -8577.9627 0.0 407.7203 
1429 -8577.9367 -8577.9367 0.0 407.6465 
1430 -8577.9626 -8577.9626 0.0 407.7129 
1431 -8577.9627 -8577.9627 0.0 407.7189 
1432 -8552.0243 -8552.0243 0.0 407.3138 
1433 -8580.625 -8580.625 0.0 407.7854 
1434 -8580.5995 -8580.5995 0.0 407.7828 
1435 -8580.6246 -8580.6246 0.0 407.7853 
1436 -8580.625 -8580.625 0.0 407.7854 
1437 -8542.9566 -8542.9566 0.0 415.7767 
1438 -8582.7034 -8582.7034 0.0 409.4964 
1439 -8582.6839 -8582.6839 0.0 409.3295 
1440 -8582.7032 -8582.7032 0.0 409.4797 
1441 -8582.7034 -8582.7034 0.0 409.4931 
1442 -8551.178 -8551.178 0.0 405.0946 
1443 -8584.619 -8584.619 0.0 408.8356 
1444 -8584.6006 -8584.6006 0.0 408.9053 
1445 -8584.619 -8584.619 0.0 408.8426 
1446 -8584.619 -8584.619 0.0 408.8373 
1447 -8555.9317 -8555.9317 0.0 405.5293 
1448 -8586.503 -8586.503 0.0 408.3547 
1449 -8586.4848 -8586.4848 0.0 408.4067 
1450 -8586.503 -8586.503 0.0 408.3599 
1451 -8586.5031 -8586.5031 0.0 408.3557 
1452 -8558.9943 -8558.9943 0.0 409.0467 
1453 -8588.5734 -8588.5734 0.0 408.6293 
1454 -8588.5528 -8588.5528 0.0 408.6051 
1455 -8588.5733 -8588.5733 0.0 408.6269 
1456 -8588.5734 -8588.5734 0.0 408.6288 
1457 -8555.1483 -8555.1483 0.0 408.5786 
1458 -8590.6254 -8590.6254 0.0 408.7495 
1459 -8531.3499 -8531.3499 0.0 412.2049 
1460 -8591.9438 -8591.9438 0.0 409.4396 
1461 -8552.6642 -8552.6642 0.0 407.7017 
1462 -8593.3314 -8593.3314 0.0 409.3762 
1463 -8592.9269 -8592.9269 0.0 409.3093 
1464 -8593.3271 -8593.3271 0.0 409.3707 
1465 -8593.3311 -8593.3311 0.0 409.3757 
1466 -8593.3312 -8593.3312 0.0 409.3762 
1467 -8593.3314 -8593.3314 0.0 409.3762 
1468 -8566.3194 -8566.3194 0.0 411.1957 
1469 -8594.7301 -8594.7301 0.0 409.8661 
1470 -8594.4494 -8594.4494 0.0 410.0627 
1471 -8594.7276 -8594.7276 0.0 409.8864 
1472 -8594.7302 -8594.7302 0.0 409.8682 
1473 -8594.7302 -8594.7302 0.0 409.8677 
1474 -8594.7302 -8594.7302 0.0 409.8682 
1475 -8576.4572 -8576.4572 0.0 409.4514 
1476 -8596.1841 -8596.1841 0.0 409.8955 
1477 -8595.9873 -8595.9873 0.0 409.8905 
1478 -8596.1821 -8596.1821 0.0 409.8954 
1479 -8596.1841 -8596.1841 0.0 409.8955 
1480 -8581.8889 -8581.8889 0.0 411.7751 
1481 -8597.6275 -8597.6275 0.0 410.4448 
1482 -8597.471 -8597.471 0.0 410.6109 
1483 -8597.6262 -8597.6262 0.0 410.4616 
1484 -8597.6275 -8597.6275 0.0 410.4465 
1485 -8597.6277 -8597.6277 0.0 410.4448 
1486 -8585.7351 -8585.7351 0.0 417.4223 
1487 -8598.9997 -8598.9997 0.0 412.2518 
1488 -8588.7889 -8588.7889 0.0 411.053 
1489 -8600.2943 -8600.2943 0.0 412.0583 
1490 -8593.1013 -8593.1013 0.0 415.6637 
1491 -8601.6304 -8601.6304 0.0 413.1785 
1492 -8601.546 -8601.546 0.0 413.4491 
1493 -8601.6294 -8601.6294 0.0 413.2059 
1494 -8601.6304 -8601.6304 0.0 413.1813 
1495 -8601.6303 -8601.6303 0.0 413.1789 
1496 -8601.6304 -8601.6304 0.0 413.1785 
1497 -8596.3758 -8596.3758 0.0 415.2594 
1498 -8602.9928 -8602.9928 0.0 413.9111 
1499 -8599.6425 -8599.6425 0.0 416.4344 
1500 -8604.4201 -8604.4201 0.0 414.8744 
1501 -8602.0669 -8602.0669 0.0 416.7087 
1502 -8605.8522 -8605.8522 0.0 415.6435 
1503 -8603.0746 -8603.0746 0.0 417.222 
1504 -8607.1144 -8607.1144 0.0 416.2848 
1505 -8606.3865 -8606.3865 0.0 416.9755 
1506 -8608.6109 -8608.6109 0.0 416.6556 
1507 -8608.459 -8608.459 0.0 416.8059 
1508 -8610.1403 -8610.1403 0.0 416.7809 
1509 -8609.9844 -8609.9844 0.0 420.7808 
1510 -8611.5894 -8611.5894 0.0 418.7815 
1511 -8611.5744 -8611.5744 0.0 418.9858 
1512 -8611.5894 -8611.5894 0.0 418.8019 
1513 -8611.4616 -8611.4616 0.0 419.3356 
1514 -8612.9667 -8612.9667 0.0 419.1103 
1515 -8612.9516 -8612.9516 0.0 419.1374 
1516 -8612.9666 -8612.9666 0.0 419.1131 
1517 -8612.9667 -8612.9667 0.0 419.1109 
1518 -8613.0478 -8613.0478 0.0 420.2181 
1519 -8602.2581 -8602.2581 0.0 421.0148 
1520 -8614.3522 -8614.3522 0.0 419.7148 
1521 -8614.3393 -8614.3393 0.0 419.7688 
1522 -8614.3521 -8614.3521 0.0 419.7202 
1523 -8614.3522 -8614.3522 0.0 419.7162 
1524 -8615.0165 -8615.0165 0.0 422.8697 
1525 -8606.3291 -8606.3291 0.0 425.7834 
1526 -8615.8588 -8615.8588 0.0 421.553 
1527 -8615.8506 -8615.8506 0.0 421.687 
1528 -8615.859 -8615.859 0.0 421.5664 
1529 -8615.8589 -8615.8589 0.0 421.5637 
1530 -8615.859 -8615.859 0.0 421.5664 
1531 -8616.3125 -8616.3125 0.0 421.4689 
1532 -8607.2011 -8607.2011 0.0 421.1858 
1533 -8617.2686 -8617.2686 0.0 421.5414 
1534 -8617.2597 -8617.2597 0.0 421.5361 
1535 -8617.2685 -8617.2685 0.0 421.5409 
1536 -8617.2687 -8617.2687 0.0 421.5412 
1537 -8617.2687 -8617.2687 0.0 421.5412 
1538 -8617.2687 -8617.2687 0.0 421.5411 
1539 -8616.5858 -8616.5858 0.0 423.5958 
1540 -8618.3967 -8618.3967 0.0 422.4832 
1541 -8618.38 -8618.38 0.0 422.5982 
1542 -8618.3966 -8618.3966 0.0 422.4948 
1543 -8618.3967 -8618.3967 0.0 422.4866 
1544 -8618.3967 -8618.3967 0.0 422.4832 
1545 -8617.8807 -8617.8807 0.0 420.2509 
1546 -8619.5721 -8619.5721 0.0 421.4975 
1547 -8619.5559 -8619.5559 0.0 421.3759 
1548 -8619.5719 -8619.5719 0.0 421.4854 
1549 -8619.5722 -8619.5722 0.0 421.495 
1550 -8619.5722 -8619.5722 0.0 421.494 
1551 -8619.5722 -8619.5722 0.0 421.495 
1552 -8619.4561 -8619.4561 0.0 423.6891 
1553 -8620.8608 -8620.8608 0.0 422.5908 
1554 -8620.8479 -8620.8479 0.0 422.7024 
1555 -8620.8607 -8620.8607 0.0 422.602 
1556 -8620.8609 -8620.8609 0.0 422.5937 
1557 -8620.861 -8620.861 0.0 422.5945 
1558 -8620.861 -8620.861 0.0 422.5953 
1559 -8618.7627 -8618.7627 0.0 422.94 
1560 -8621.8646 -8621.8646 0.0 422.7637 
1561 -8621.8346 -8621.8346 0.0 422.7883 
1562 -8621.8646 -8621.8646 0.0 422.7662 
1563 -8618.6291 -8618.6291 0.0 423.3812 
1564 -8622.8031 -8622.8031 0.0 423.0286 
1565 -8622.7628 -8622.7628 0.0 423.0758 
1566 -8622.8027 -8622.8027 0.0 423.0335 
1567 -8622.8031 -8622.8031 0.0 423.0291 
1568 -8622.8031 -8622.8031 0.0 423.0286 
1569 -8619.757 -8619.757 0.0 427.4252 
1570 -8623.877 -8623.877 0.0 424.5906 
1571 -8621.3457 -8621.3457 0.0 423.4642 
1572 -8625.1084 -8625.1084 0.0 424.2592 
1573 -8625.0716 -8625.0716 0.0 424.1918 
1574 -8625.1079 -8625.1079 0.0 424.2527 
1575 -8625.1083 -8625.1083 0.0 424.2587 
1576 -8621.0717 -8621.0717 0.0 426.0179 
1577 -8626.2798 -8626.2798 0.0 424.909 
1578 -8620.8677 -8620.8677 0.0 420.2485 
1579 -8627.3599 -8627.3599 0.0 423.6548 
1580 -8627.2958 -8627.2958 0.0 423.3349 
1581 -8627.3587 -8627.3587 0.0 423.6233 
1582 -8627.3599 -8627.3599 0.0 423.6516 
1583 -8621.5324 -8621.5324 0.0 424.1111 
1584 -8628.3857 -8628.3857 0.0 423.8772 
1585 -8628.3172 -8628.3172 0.0 423.9235 
1586 -8628.3852 -8628.3852 0.0 423.882 
1587 -8628.3857 -8628.3857 0.0 423.8777 
1588 -8628.3857 -8628.3857 0.0 423.8777 
1589 -8628.3857 -8628.3857 0.0 423.8777 
1590 -8622.2641 -8622.2641 0.0 423.6255 
1591 -8629.4553 -8629.4553 0.0 423.9107 
1592 -8629.3856 -8629.3856 0.0 423.9055 
1593 -8629.4547 -8629.4547 0.0 423.9105 
1594 -8629.4553 -8629.4553 0.0 423.9107 
1595 -8623.3254 -8623.3254 0.0 427.802 
1596 -8630.5676 -8630.5676 0.0 425.112 
1597 -8630.4961 -8630.4961 0.0 425.4054 
1598 -8630.5667 -8630.5667 0.0 425.1417 
1599 -8630.5675 -8630.5675 0.0 425.115 
1600 -8624.7375 -8624.7375 0.0 427.6392 
1601 -8631.7131 -8631.7131 0.0 425.9473 
1602 -8631.6455 -8631.6455 0.0 426.1393 
1603 -8631.7129 -8631.7129 0.0 425.9666 
1604 -8631.7131 -8631.7131 0.0 425.9528 
1605 -8625.7384 -8625.7384 0.0 423.2246 
1606 -8632.8807 -8632.8807 0.0 425.273 
1607 -8632.8131 -8632.8131 0.0 425.0906 
1608 -8632.8803 -8632.8803 0.0 425.255 
1609 -8632.8808 -8632.8808 0.0 425.2692 
1610 -8627.8363 -8627.8363 0.0 422.9468 
1611 -8634.0621 -8634.0621 0.0 424.6737 
1612 -8634.0028 -8634.0028 0.0 424.5226 
1613 -8634.0618 -8634.0618 0.0 424.6588 
1614 -8634.062 -8634.062 0.0 424.6707 
1615 -8631.1585 -8631.1585 0.0 424.1406 
1616 -8635.2945 -8635.2945 0.0 424.5795 
1617 -8635.2546 -8635.2546 0.0 424.5511 
1618 -8635.294 -8635.294 0.0 424.5769 
1619 -8635.2945 -8635.2945 0.0 424.5792 
1620 -8635.2945 -8635.2945 0.0 424.5795 
1621 -8632.1428 -8632.1428 0.0 427.0973 
1622 -8636.4171 -8636.4171 0.0 425.5243 
1623 -8636.3751 -8636.3751 0.0 425.6978 
1624 -8636.4166 -8636.4166 0.0 425.5419 
1625 -8636.417 -8636.417 0.0 425.5261 
1626 -8636.417 -8636.417 0.0 425.5244 
1627 -8633.9557 -8633.9557 0.0 425.0253 
1628 -8637.5761 -8637.5761 0.0 425.4265 
1629 -8637.5392 -8637.5392 0.0 425.4001 
1630 -8637.5759 -8637.5759 0.0 425.4239 
1631 -8637.5762 -8637.5762 0.0 425.4262 
1632 -8635.0123 -8635.0123 0.0 425.5947 
1633 -8638.7135 -8638.7135 0.0 425.5673 
1634 -8638.6782 -8638.6782 0.0 425.5827 
1635 -8638.713 -8638.713 0.0 425.5691 
1636 -8638.7135 -8638.7135 0.0 425.5675 
1637 -8638.7135 -8638.7135 0.0 425.5673 
1638 -8634.7892 -8634.7892 0.0 422.7997 
1639 -8639.7388 -8639.7388 0.0 424.79 
1640 -8639.6893 -8639.6893 0.0 424.6087 
1641 -8639.7384 -8639.7384 0.0 424.7719 
1642 -8639.7387 -8639.7387 0.0 424.7876 
1643 -8634.8066 -8634.8066 0.0 423.9418 
1644 -8640.7346 -8640.7346 0.0 424.6366 
1645 -8640.6759 -8640.6759 0.0 424.5878 
1646 -8640.7341 -8640.7341 0.0 424.632 
1647 -8640.7346 -8640.7346 0.0 424.6362 
1648 -8636.852 -8636.852 0.0 423.3794 
1649 -8641.8056 -8641.8056 0.0 424.3245 
1650 -8641.7553 -8641.7553 0.0 424.2474 
1651 -8641.8051 -8641.8051 0.0 424.3169 
1652 -8641.8055 -8641.8055 0.0 424.3238 
1653 -8638.1397 -8638.1397 0.0 424.6798 
1654 -8642.8572 -8642.8572 0.0 424.5235 
1655 -8642.81 -8642.81 0.0 424.5558 
1656 -8642.8566 -8642.8566 0.0 424.527 
1657 -8642.8574 -8642.8574 0.0 424.5237 
1658 -8638.7649 -8638.7649 0.0 424.0203 
1659 -8643.8493 -8643.8493 0.0 424.4564 
1660 -8640.2574 -8640.2574 0.0 422.6082 
1661 -8644.9074 -8644.9074 0.0 423.9443 
1662 -8644.8621 -8644.8621 0.0 423.8263 
1663 -8644.9071 -8644.9071 0.0 423.9327 
1664 -8644.9074 -8644.9074 0.0 423.9432 
1665 -8641.8267 -8641.8267 0.0 426.1297 
1666 -8646.0598 -8646.0598 0.0 424.7776 
1667 -8646.0197 -8646.0197 0.0 424.9268 
1668 -8646.0595 -8646.0595 0.0 424.7927 
1669 -8646.0598 -8646.0598 0.0 424.7793 
1670 -8640.955 -8640.955 0.0 422.5188 
1671 -8647.0742 -8647.0742 0.0 424.2277 
1672 -8647.0141 -8647.0141 0.0 424.0792 
1673 -8647.074 -8647.074 0.0 424.2129 
1674 -8647.0742 -8647.0742 0.0 424.2258 
1675 -8647.0742 -8647.0742 0.0 424.2274 
1676 -8647.0742 -8647.0742 0.0 424.2277 
1677 -8642.3343 -8642.3343 0.0 424.0878 
1678 -8648.2091 -8648.2091 0.0 424.2967 
1679 -8644.168 -8644.168 0.0 423.7548 
1680 -8649.5508 -8649.5508 0.0 424.2437 
1681 -8649.4984 -8649.4984 0.0 424.218 
1682 -8649.5503 -8649.5503 0.0 424.2414 
1683 -8649.5509 -8649.5509 0.0 424.2434 
1684 -8642.1386 -8642.1386 0.0 424.2565 
1685 -8650.5964 -8650.5964 0.0 424.3963 
1686 -8650.5141 -8650.5141 0.0 424.4202 
